Full Name,Privy ID,Email Address,Employment Status,Join Date,Job Title,Level,Directorate,Division,Homebase,Direct Leader,Direct Leader Job Title,Direct Leader Employee ID,PIC HRBP,HRBP PrivyID,Role in System,Role in Organization
Adlina Aufarani,ARS8504,adnanstgwni1@yopmail.com,Permanent,4-Jan-2021,Senior Reward Officer,Senior Officer,Chief Human Resource Officer,Human Resource,Yogyakarta,Chairunnisa Latifa,Head of People and Development,ASA0066,Rivaldi Rafly Widyasthana,JA1473,Super Admin,Non leader
Afri Mimo,CRR7111,adnanstgwna1@yopmail.com,Permanent,24-Okt-2022,Marketing Associate,Officer,Chief Revenue Officer,Marketing,Jakarta,Adwan Sopyar,Marketing Manager,ASA0004,Irene Claudia Frine,ATR6220,Employee,Non leader
Ardhi Kusuma Wisnu Wardhana,ASA8504,adnanstgwni2@yopmail.com,Permanent,1-Mar-2022,VP Marketing,Vice President,Chief Revenue Officer,Marketing,Yogyakarta,Tika,Chief Revenue Officer,ARS0011,Irene Claudia Frine,ATR6220,Leader,Leader
Arsala Majid,TMA8504,adnan_test1@yopmail.com,Permanent,17-Okt-2022,Organization and Development Manager,Manager,Chief Human Resource Officer,Human Resource,Yogyakarta,Chairunnisa Latifa,Head of People and Development,ASA0066,Rivaldi Rafly Widyasthana,JA1473,Leader,Leader
Dhewandono Widya Wardono,ARS0000,adnan_testg@yopmail.com,Permanent,2-Jun-2022,Talent Acquisition & Business Partner Manager,Manager,Chief Human Resource Officer,Human Resource,Jakarta,Tri Sabila Faiz,VP Human Resource,ASG2997,Rivaldi Rafly Widyasthana,JA1473,Leader,Leader
Elisabeth Vialliarvin Susilo,AGN8504,adnan_teststg_take@yopmail.com,Permanent,22-Mar-2018,Performance Marketing Manager,Manager,Chief Revenue Officer,Marketing,Yogyakarta,Ardhi Kusuma Wisnu Wardhana,VP Marketing,ASA8504,Irene Claudia Frine,ATR6220,Leader,Leader
Goldy Imlenia S,RNN0079,adnan_test2@yopmail.com,Permanent,2-Feb-2022,SEO Specialist,Senior Officer,Chief Revenue Officer,Marketing,Yogyakarta,Elisabeth Vialliarvin Susilo,Performance Marketing Manager,AGD8504,Irene Claudia Frine,ATR6220,Employee,Non leader
Indria Anggraini,AET2922,adnan_test3@yopmail.com,Permanent,3-Mei-2021,Social Media Manager,Manager,Chief Revenue Officer,Marketing,Jakarta,Destia Feninataya Bahar,Head of Marketing,ARS0080,Irene Claudia Frine,ATR6220,Leader,Leader
Irene Claudia Frine,ATR6220,adnan_test4@yopmail.com,Permanent,22-Agu-2022,HRBP Specialist,Senior Officer,Chief Human Resource Officer,Human Resource,Yogyakarta,Dhewandono Widya Wardono,Talent Acquisition & Business Partner Manager,ARS0000,Rivaldi Rafly Widyasthana,JA1473,Admin,Non leader
Rahmawati,DEVAL1779,adnan_test5@yopmail.com,Permanent,2-Jun-2022,Chief Executive Officer,Director,Board of Director,,Yogyakarta,,,,Dhewandono Widya Wardono,ARS0000,,Leader
Randy Vendira Akriyono,HY1122,adnan_test6@yopmail.com,Permanent,21-Des-2022,Marketing Associate,Officer,Chief Revenue Officer,Marketing,Yogyakarta,Adwan Sopyar,Marketing Manager,ASA0004,Irene Claudia Frine,ATR6220,Employee,Non leader
